ds,cpu_forecast_mean,cpu_lower,cpu_upper,cpu_forecast_min,cpu_forecast_max
2026-09-24 21:00:00,10.270183,0.94479275,19.380043,0.94479275,19.380043
2026-09-24 22:00:00,10.298424,0.94053113,19.458239,0.94053113,19.458239
2026-09-24 23:00:00,10.307659,0.90503055,19.534267,0.90503055,19.534267
2026-09-25 00:00:00,10.3437,0.9262242,19.62892,0.9262242,19.62892
2026-09-25 01:00:00,10.325624,0.9128586,19.630436,0.9128586,19.630436
2026-09-25 02:00:00,10.335606,0.9673431,19.649555,0.9673431,19.649555
2026-09-25 03:00:00,10.272606,0.9311398,19.602266,0.9311398,19.602266
2026-09-25 04:00:00,10.2834215,0.9766927,19.638569,0.9766927,19.638569
2026-09-25 05:00:00,10.2286,1.0132709,19.610416,1.0132709,19.610416
2026-09-25 06:00:00,10.213474,1.0310118,19.663464,1.0310118,19.663464
2026-09-25 07:00:00,10.152246,0.9966723,19.595459,0.9966723,19.595459
2026-09-25 08:00:00,10.16987,0.9979569,19.595512,0.9979569,19.595512
2026-09-25 09:00:00,10.180381,0.97449684,19.652512,0.97449684,19.652512
2026-09-25 10:00:00,10.180372,0.9316635,19.657272,0.9316635,19.657272
2026-09-25 11:00:00,10.154627,0.91772187,19.655321,0.91772187,19.655321
2026-09-25 12:00:00,10.195625,0.946813,19.708643,0.946813,19.708643
2026-09-25 13:00:00,10.1669655,0.92988074,19.690191,0.92988074,19.690191
2026-09-25 14:00:00,10.164104,0.9470825,19.66896,0.9470825,19.66896
2026-09-25 15:00:00,10.136679,0.93904746,19.64429,0.93904746,19.64429
2026-09-25 16:00:00,10.180922,0.99271333,19.66674,0.99271333,19.66674
2026-09-25 17:00:00,10.189432,0.97851837,19.66091,0.97851837,19.66091
2026-09-25 18:00:00,10.220754,1.0021198,19.705608,1.0021198,19.705608
2026-09-25 19:00:00,10.174143,1.0052108,19.65335,1.0052108,19.65335
2026-09-25 20:00:00,10.187911,1.0142299,19.73886,1.0142299,19.73886
2026-09-25 21:00:00,10.222109,1.0611768,19.77489,1.0611768,19.77489
2026-09-25 22:00:00,10.23329,1.1063185,19.755705,1.1063185,19.755705
2026-09-25 23:00:00,10.202224,1.0372827,19.667532,1.0372827,19.667532
2026-09-26 00:00:00,10.242373,1.0536798,19.633823,1.0536798,19.633823
